"sku";"gu_vpe";"ean";"STATUS"
"1";"1.00";"00000000000620";"0"
"1";"1.00";"00000000000620";"1"
"1";"1.00";"00000000000000000620";"0"
"10101";"1.00";"10101";"1"
"10102";"1.00";"10102";"1"
"10103";"1.00";"10103";"1"
"60600";"1.00";"8032601615279";"1"
"60600";"1.00";"8032601615446";"0"
"60606";"1.00";"8391135606062";"1"
"60660";"1.00";"8391135606604";"1"
"61001";"1.00";"8004645308103";"1"
"61002";"1.00";"8015393001079";"1"
"61003";"1.00";"8004810086089";"1"
"61004";"1.00";"8000729200752";"1"
"61005";"1.00";"8011315000151";"1"
"61006";"1.00";"8010471001897";"1"
"61007";"1.00";"8391135610076";"1"
"61008";"1.00";"8391135610083";"1"
"61009";"1.00";"8016706000635";"1"
"61010";"1.00";"8016706000826";"1"
"61011";"1.00";"8007116621107";"1"
"61012";"1.00";"8021507717606";"1"
"61013";"1.00";"8032738620153";"1"
"61014";"1.00";"8008900004014";"1"
"61014";"6.00";"8008900140675";"0"
"61015";"1.00";"8005011881077";"1"
"61016";"1.00";"8001622002047";"1"
"61017";"1.00";"8391135610175";"1"
"61018";"1.00";"8004645402108";"1"
"61019";"1.00";"8026530000039";"1"
"61020";"1.00";"8032665960018";"1"
"61021";"1.00";"8009720637697";"1"
"61023";"1.00";"8391135610236";"1"
"61024";"1.00";"8032665960025";"1"
"61025";"1.00";"8391135610250";"1"
"61026";"1.00";"8004375301047";"1"
"61027";"1.00";"8391135610274";"1"
"61028";"1.00";"8015822010054";"1"
"61029";"1.00";"8015822000345";"1"
"61030";"1.00";"8002815404501";"1"
"61031";"1.00";"8002815404525";"1"
"61032";"1.00";"8391135610328";"1"
"61033";"1.00";"8001935294504";"1"
"61034";"1.00";"8020465420030";"1"
"61035";"1.00";"8020465320057";"1"
"61036";"1.00";"8007116761100";"1"
"61037";"1.00";"8391135610373";"1"
"61038";"1.00";"8391135610380";"1"
"61039";"1.00";"8007116851108";"1"
"61040";"1.00";"8015294000102";"1"
"61041";"1.00";"8391135610410";"1"
"61042";"1.00";"8010471001873";"1"
"61043";"1.00";"8010471000302";"1"
"61044";"1.00";"8010471002436";"1"
"61046";"1.00";"8010471002610";"1"
"61047";"1.00";"8032793260233";"1"
"61048";"1.00";"8391135610489";"1"
"61049";"1.00";"8015393001017";"1"
"61050";"1.00";"8015393005404";"1"
"61052";"1.00";"8391135610526";"1"
"61053";"1.00";"8033247861310";"1"
"61054";"1.00";"8032706968805";"1"
"61055";"1.00";"8001935000556";"1"
"61056";"1.00";"8001935114505";"1"
"61057";"1.00";"8004645306109";"1"
"61058";"1.00";"8391135610588";"1"
"61059";"1.00";"8391135610595";"1"
"61060";"1.00";"8391135610601";"1"
"61061";"1.00";"8391135610618";"1"
"61062";"1.00";"8003969004241";"1"
"61063";"1.00";"8391135610632";"1"
"61064";"1.00";"8391135610649";"1"
"61065";"1.00";"8005415037933";"1"
"61066";"1.00";"8001291020014";"1"
"61067";"1.00";"8006805127012";"1"
"61068";"1.00";"8391135610687";"1"
"61069";"1.00";"8391135610694";"1"
"61070";"1.00";"8391135610700";"1"
"61071";"1.00";"8004300105542";"1"
"61072";"1.00";"8006393300637";"1"
"61073";"1.00";"8003373091660";"1"
"61074";"1.00";"8006870180707";"1"
"61075";"1.00";"8006870030743";"1"
"61076";"1.00";"8391135610762";"1"
"61077";"1.00";"8016608000672";"1"
"61078";"1.00";"8003295002317";"1"
"61079";"1.00";"8003295003321";"1"
"61080";"1.00";"8391135610809";"1"
"61081";"1.00";"8004300116548";"1"
"61082";"1.00";"8016608003703";"1"
"61083";"1.00";"8004300699645";"1"
"61084";"1.00";"8016608003604";"1"
"61085";"1.00";"8002477075118";"1"
"61086";"1.00";"8008530003982";"1"
"61087";"1.00";"8006393300620";"1"
"61088";"1.00";"8391135610885";"1"
"61089";"1.00";"8008900001068";"1"
"61090";"1.00";"8008900005790";"1"
"61091";"1.00";"8008900006797";"1"
"61092";"1.00";"8000160623615";"1"
"61093";"1.00";"8391135610939";"1"
"61094";"1.00";"8391135610946";"1"
"61095";"1.00";"8391135610953";"1"
"61096";"1.00";"8391135610960";"1"
"61097";"1.00";"8391135610977";"1"
"61098";"1.00";"8391135610984";"1"
"61099";"1.00";"8391135610991";"1"
"61100";"1.00";"8391135611004";"1"
"61101";"1.00";"8030773000749";"1"
"61102";"1.00";"8030773002040";"1"
"61103";"1.00";"8030773000411";"1"
"61104";"1.00";"8030773000770";"1"
"61105";"1.00";"8030773001340";"1"
"61106";"1.00";"8030773000640";"1"
"61107";"1.00";"8391135611073";"1"
"61108";"1.00";"8391135611080";"1"
